description,Measuring,Plating,Smoking,Toasting,Microwaving,Air Frying,Double Boiler,Bain Marie,Reducing,Water Bathing,Deglazing,Caramelising,Poaching,Simmering,Boiling,Steaming,Stir Frying,Deep Frying,Flambing,Braising,Searing,Sauteeing,Grilling,Pan Frying,Grating,Baking,Roasting,Squeezing,Mashing,Rehidrating,Drying,Kneading,Tenderizing,Whisking,Mixing,Blending,Refrigerating,Pickling,Curing,Freezing,Infusing,Marinating,Seasoning,Salting,Slicing,Chopping Fruits,Chopping Mushroom,Chopping Herbs,Mincing,Batonnet,Dicing,Roughly Chopping
"For the lamb, heat the butter in a large frying pan over a medium heat. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Add the onion and cook, stirring occasionally, for 6-8 minutes, or until softened. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Add the crushed garlic and half of the cumin seeds and cook for another minute. ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Put the mushrooms, chard, oil, garlic, chilli, sea salt, and half the sage leaves into a large roasting tin and mix well. Take 20 minutes to bake.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Put the mushrooms, chard, oil, garlic, chilli, sea salt, and half the sage leaves into a large roasting tin and mix well. Take 20 minutes to bake.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Put the mushrooms, chard, oil, garlic, chilli, sea salt, and half the sage leaves into a large roasting tin and mix well. For 20 minutes, bake.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Put the mushrooms, chard, oil, garlic, chilli, sea salt, and half the sage leaves into a roasting tin and mix well. Take 20 minutes to bake.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Bring a large pan of salted water to the boil, add the pasta and cook for 10 minutes according to the packet instructions. You should drain well.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Bring a large pan of salted water to the boil, add the pasta and cook for 10 minutes according to the packet instructions. You should drain well.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Bring a large pan of salted water to the boil, add the pasta and cook for 10 minutes according to the packet instructions. Take care to drain well.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Bring a large pan of salted water to the boil, add the pasta and cook for 10 minutes according to the instructions in the packet. You should drain well.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Add the pasta and tomatoes to the roasting tin. Scatter over the rest of the ingredients and bake for another 30 minutes or until golden and bubbling. It's best to serve it hot.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Add the drained pasta and chopped tomatoes to the roasting tin. Scatter over the rest of the ingredients and bake for another 30 minutes or until golden and bubbling. Serve hot.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Add the drained pasta and chopped tomatoes to the roasting tin. If you want to bake for a further 30 minutes, scatter over the rest of the ingredients. Serve hot.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Add the pasta and tomatoes to the roasting tin. Scatter over the rest of the ingredients and bake for another 30 minutes or until golden and bubbling. Serve hot.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Add the drained pasta and chopped tomatoes to the roasting tin. If you want to bake for a further 30 minutes, scatter over the rest of the ingredients. It's best to serve it hot.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Add the drained pasta and chopped tomatoes to the roasting tin. Scatter over the rest of the ingredients and bake for another 30 minutes or until golden and bubbling. It's best to serve it hot.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Add the pasta and tomatoes to the roasting tin. If you want to bake for a further 30 minutes, scatter over the rest of the ingredients. Serve hot.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Add the drained pasta and chopped tomatoes to the roasting tin. Scatter over the rest of the ingredients and bake for another 30 minutes or until golden and bubbling. It's best to serve it hot.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" For a couple of minutes, toast the seeds in a pan on a low heat, until fragrant.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" For a couple of minutes, toast the seeds in a dry pan on a low heat, until fragrant.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 You can grind to a coarse powder with a mortar and pestle. Use a fork or small whisk to mix the ingredients.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 You can grind to a coarse powder with a mortar and pestle. Use a fork or small whisk to mix the ingredients.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 You can grind to a coarse powder with a mortar and pestle. Use a fork or small whisk to mix the remaining ingredients.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 You can grind to a coarse powder using a mortar and pestle. Use a fork or small whisk to mix the ingredients.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Combine the chickpeas, lemon juice, garlic, cumin, salt, and water in a food processor and blend to a creamy puree.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" Combine the chickpeas, lemon juice, garlic, cumin, salt, tahini, and water in a food processor and blend to a creamy puree.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Add more seasonings to make it taste better. Make smooth with the back of a spoon by turning out into a dinner plate. Scatter the chickpeas with the extra virgin olive oil.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Add more ingredients to make it taste better. Make smooth with the back of a spoon by turning out into a dinner plate. Scatter the chickpeas with extra virgin olive oil.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Add more ingredients to make it taste better. Make smooth with the back of a spoon by turning out a dinner plate. Scatter the chickpeas with extra virgin olive oil.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Add more seasonings to make it taste better. Make smooth with the back of a spoon by turning out into a dinner plate. Scatter the chickpeas with extra virgin olive oil.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Add more ingredients to make it taste better. Make smooth with the back of a spoon by turning out a dinner plate. Scatter the chickpeas with the extra virgin olive oil.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Add more ingredients to make it taste better. Make smooth with the back of a spoon by turning out into a dinner plate. Scatter the chickpeas with the extra virgin olive oil.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Add more seasonings to make it taste better. Make smooth with the back of a spoon by turning out a dinner plate. Scatter the chickpeas with extra virgin olive oil.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Add more ingredients to make it taste better. Make smooth with the back of a spoon by turning out into a dinner plate. Scatter the chickpeas with the extra virgin olive oil.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" Put the milk, water and sugar in a small saucepan and heat very gently, stirring constantly, for just a few seconds until the liquid islukewarm and the sugar has dissolved. Pour the mixture into a bowl after removing the pan from the heat.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Put the milk, water and sugar in a small saucepan and heat very gently, stirring constantly, for just a few seconds until the liquid islukewarm and the sugar has dissolved. Pour the mixture into a bowl after removing the pan from the heat.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Put the milk, water and sugar in a small saucepan and heat very gently, stirring constantly, for just a few seconds until the liquid islukewarm and the sugar has dissolved. Put the mixture into a bowl after removing the pan from the heat.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Put the milk, water and sugar in a small saucepan and heat very gently, stirring constantly, for just a few seconds until the liquid is warm and the sugar has dissolved. Pour the mixture into a bowl after removing the pan from the heat.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Slowly pour in around one-third of the porcini stock, and the porcini mushrooms, allowing the rice to absorb the stock before adding more. Continue until most of the stock has been absorbed.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Slowly pour in around one-third of the porcini stock, and the porcini mushrooms, allowing the rice to absorb the stock before adding more. Continue until most of the stock has been absorbed.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Slowly pour in around one-third of the porcini stock, and the porcini mushrooms, allowing the rice to absorb the stock before adding more. It should take 15 to 20 minutes for most of the stock to be absorbed.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Allow the rice to absorb the stock before adding more. Continue until most of the stock has been absorbed.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" If you prefer, add a little more seasoning with the salt and pepper. If asparagus is used, place it on top of the risotto and cover the pan with a lid. It's a good idea to serve with an extra sprinkle of black pepper.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" If you prefer, add a little more seasoning to the salt and pepper. If asparagus is used, place it on top of the risotto and cover the pan with a lid. It's a good idea to serve with an extra sprinkling of black pepper.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" If you prefer, add a little more seasoning to the salt and pepper. If using asparagus, place it on top of the risotto and cover the pan with a lid. It's a good idea to serve with an extra sprinkling of black pepper.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" If you prefer, add a little more seasoning with the salt and pepper. If asparagus is used, place it on top of the risotto and cover the pan with a lid. It's a good idea to serve with an extra sprinkling of black pepper.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" If you prefer, add a little more seasoning to the salt and pepper. If using asparagus, place it on top of the risotto and cover the pan with a lid. It's a good idea to serve with an extra sprinkle of black pepper.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" If you prefer, add a little more seasoning to the salt and pepper. If asparagus is used, place it on top of the risotto and cover the pan with a lid. It's a good idea to serve with an extra sprinkle of black pepper.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" If you prefer, add a little more seasoning with the salt and pepper. If using asparagus, place it on top of the risotto and cover the pan with a lid. It's a good idea to serve with an extra sprinkling of black pepper.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" If you prefer, add a little more seasoning to the salt and pepper. If asparagus is used, place it on top of the risotto and cover the pan with a lid. It's a good idea to serve with an extra sprinkle of black pepper.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 The butter should be in a pan with a medium heat.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 The butter can be heated in a pan over a medium heat.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Add the onion and cook for a while, stirring occasionally.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
" Add the onion and cook, stirring occasionally, for 8 to 10 minutes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 Cook the garlic and half of the cumin seeds for another minute.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Add the garlic and half of the cumin seeds and cook for a while.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
